icd10, model, hcc, hcc_label
A0103, v24, 115, Typhoid pneumonia
A0104, v24, 39, Typhoid arthritis
A0105, v24, 39, Typhoid osteomyelitis
A021, v24, 2, Salmonella sepsis
A0222, v24, 115, Salmonella pneumonia
A0223, v24, 39, Salmonella arthritis
A0224, v24, 39, Salmonella osteomyelitis
A065, v24, 115, Amebic lung abscess
A072, v24, 6, Cryptosporidiosis
A202, v24, 115, Pneumonic plague
A207, v24, 2, Septicemic plague
A212, v24, 115, Pulmonary tularemia
A221, v24, 115, Pulmonary anthrax
A227, v24, 2, Anthrax sepsis
A267, v24, 2, Erysipelothrix sepsis
A310, v24, 6, Pulmonary mycobacterial infection
A312, v24, 6, Disseminated mycobacterium avium-intracellulare complex (DMAC)
A327, v24, 2, Listerial sepsis
A3681, v24, 85, Diphtheritic cardiomyopathy
A391, v24, 23, Waterhouse-Friderichsen syndrome
A392, v24, 2, Acute meningococcemia
A393, v24, 2, Chronic meningococcemia
A394, v24, 2, Meningococcemia, unspecified
A3983, v24, 39, Meningococcal arthritis
A3984, v24, 39, Postmeningococcal arthritis
A400, v24, 2, Sepsis due to streptococcus, group A
A401, v24, 2, Sepsis due to streptococcus, group B
A403, v24, 2, Sepsis due to Streptococcus pneumoniae
A408, v24, 2, Other streptococcal sepsis
A409, v24, 2, Streptococcal sepsis, unspecified
A4101, v24, 2, Sepsis due to Methicillin susceptible Staphylococcus aureus
A4102, v24, 2, Sepsis due to Methicillin resistant Staphylococcus aureus
A411, v24, 2, Sepsis due to other specified staphylococcus
A412, v24, 2, Sepsis due to unspecified staphylococcus
A413, v24, 2, Sepsis due to Hemophilus influenzae
A414, v24, 2, Sepsis due to anaerobes
A4150, v24, 2, Gram-negative sepsis, unspecified
A4151, v24, 2, Sepsis due to Escherichia coli [E. coli]
A4152, v24, 2, Sepsis due to Pseudomonas
A4153, v24, 2, Sepsis due to Serratia
A4154, v24, 2, Sepsis due to Acinetobacter baumannii
A4159, v24, 2, Other Gram-negative sepsis
A4181, v24, 2, Sepsis due to Enterococcus
A4189, v24, 2, Other specified sepsis
A419, v24, 2, Sepsis, unspecified organism
A420, v24, 115, Pulmonary actinomycosis
A427, v24, 2, Actinomycotic sepsis
A430, v24, 115, Pulmonary nocardiosis
A480, v24, 106, Gas gangrene
A481, v24, 114, Legionnaires' disease
A483, v24, 2, Toxic shock syndrome
A5055, v24, 39, Late congenital syphilitic arthropathy
A5440, v24, 39, Gonococcal infection of musculoskeletal system, unspecified
A5441, v24, 39, Gonococcal spondylopathy
A5442, v24, 39, Gonococcal arthritis
A5443, v24, 39, Gonococcal osteomyelitis
A5449, v24, 39, Gonococcal infection of other musculoskeletal tissue
A5484, v24, 115, Gonococcal pneumonia
A5485, v24, 33, Gonococcal peritonitis
A5486, v24, 2, Gonococcal sepsis
A666, v24, 39, Bone and joint lesions of yaws
A6923, v24, 39, Arthritis due to Lyme disease
A8100, v24, 52, Creutzfeldt-Jakob disease, unspecified
A8101, v24, 52, Variant Creutzfeldt-Jakob disease
A8109, v24, 52, Other Creutzfeldt-Jakob disease
A811, v24, 52, Subacute sclerosing panencephalitis
A812, v24, 52, Progressive multifocal leukoencephalopathy
A8181, v24, 52, Kuru
A8182, v24, 52, Gerstmann-Straussler-Scheinker syndrome
A8183, v24, 52, Fatal familial insomnia
A8189, v24, 52, Other atypical virus infections of central nervous system
A819, v24, 52, Atypical virus infection of central nervous system, unspecified
B007, v24, 2, Disseminated herpesviral disease
B0082, v24, 72, Herpes simplex myelitis
B0112, v24, 72, Varicella myelitis
B0224, v24, 72, Postherpetic myelitis
B0682, v24, 39, Rubella arthritis
B180, v24, 29, Chronic viral hepatitis B with delta-agent
B181, v24, 29, Chronic viral hepatitis B without delta-agent
B182, v24, 29, Chronic viral hepatitis C
B188, v24, 29, Other chronic viral hepatitis
B189, v24, 29, Chronic viral hepatitis, unspecified
B20, v24, 1, Human immunodeficiency virus [HIV] disease
B250, v24, 6, Cytomegaloviral pneumonitis
B251, v24, 6, Cytomegaloviral hepatitis
B252, v24, 6, Cytomegaloviral pancreatitis
B258, v24, 6, Other cytomegaloviral diseases
B259, v24, 6, Cytomegaloviral disease, unspecified
B2685, v24, 39, Mumps arthritis
B3324, v24, 85, Viral cardiomyopathy
B371, v24, 6, Pulmonary candidiasis
B377, v24, 2, Candidal sepsis
B377, v24, 6, Candidal sepsis
B3781, v24, 6, Candidal esophagitis
B380, v24, 115, Acute pulmonary coccidioidomycosis
B381, v24, 115, Chronic pulmonary coccidioidomycosis
B382, v24, 115, Pulmonary coccidioidomycosis, unspecified
B390, v24, 115, Acute pulmonary histoplasmosis capsulati
B391, v24, 115, Chronic pulmonary histoplasmosis capsulati
B392, v24, 115, Pulmonary histoplasmosis capsulati, unspecified
B400, v24, 115, Acute pulmonary blastomycosis
B401, v24, 115, Chronic pulmonary blastomycosis
B402, v24, 115, Pulmonary blastomycosis, unspecified
B410, v24, 115, Pulmonary paracoccidioidomycosis
B4282, v24, 39, Sporotrichosis arthritis
B440, v24, 6, Invasive pulmonary aspergillosis
B441, v24, 6, Other pulmonary aspergillosis
B442, v24, 6, Tonsillar aspergillosis
B447, v24, 6, Disseminated aspergillosis
B4481, v24, 112, Allergic bronchopulmonary aspergillosis
B4489, v24, 6, Other forms of aspergillosis
B449, v24, 6, Aspergillosis, unspecified
B450, v24, 6, Pulmonary cryptococcosis
B451, v24, 6, Cerebral cryptococcosis
B452, v24, 6, Cutaneous cryptococcosis
B453, v24, 6, Osseous cryptococcosis
B457, v24, 6, Disseminated cryptococcosis
B458, v24, 6, Other forms of cryptococcosis
B459, v24, 6, Cryptococcosis, unspecified
B460, v24, 6, Pulmonary mucormycosis
B461, v24, 6, Rhinocerebral mucormycosis
B462, v24, 6, Gastrointestinal mucormycosis
B463, v24, 6, Cutaneous mucormycosis
B464, v24, 6, Disseminated mucormycosis
B465, v24, 6, Mucormycosis, unspecified
